content,tokens,context,questions
"Why do I publicly proclaim that I want to make internet access affordable for all and that I don’t care whether I receive some sort of recognition, even though I do!

Can I feel relevance without recognition? I don’t think so. Can anyone feel relevance without recognition?

Why then do I grudge another for craving recognition?

Why is it so hard to love insecure people?

Why must we hate insecurities? Why must I hate insecurities?

Interestingly I’ve found that love is an element of abundance. People who love the most number of other people also get the most most amount of love back. Such people also don’t find it hard to love themselves. A loving environment minimizes the chances of triggering or creating more insecurities, thereby reducing the desire for people to seek recognition, thereby helping share relevance more easily with more people.

Can being gentle and loving towards other life become the most important thing we do?",206,"Why do I publicly proclaim that I want to make internet access affordable for all and that I don’t care whether I receive some sort of recognition, even though I do!

Can I feel relevance without recognition? I don’t think so. Can anyone feel relevance without recognition?

Why then do I grudge another for craving recognition?

Why is it so hard to love insecure people?

Why must we hate insecurities? Why must I hate insecurities?

Interestingly I’ve found that love is an element of abundance. People who love the most number of other people also get the most most amount of love back. Such people also don’t find it hard to love themselves. A loving environment minimizes the chances of triggering or creating more insecurities, thereby reducing the desire for people to seek recognition, thereby helping share relevance more easily with more people.

Can being gentle and loving towards other life become the most important thing we do?","1. Why do you think it's hard to love insecure people?
2. Why do you think it's important to be gentle and loving towards other life?"
"Can being gentle and loving towards other life become the most important thing we do?

Why is it to hard to love the self? Is there one self? I don’t think so. What do you think?

I’ve found that I can be the kindest person at the same time the harshest, cruelest, most evil person. There’s plenty I’m proud of there’s plenty I’m utterly ashamed off.

I was asked recently at TEdx San Francisco, what if I were known for the absolute worst thing I’ve done? The thought shook me. I then thought about how luck has played a role in shaping my life and how luck is random.",154,"Can being gentle and loving towards other life become the most important thing we do?

Why is it to hard to love the self? Is there one self? I don’t think so. What do you think?

I’ve found that I can be the kindest person at the same time the harshest, cruelest, most evil person. There’s plenty I’m proud of there’s plenty I’m utterly ashamed off.

I was asked recently at TEdx San Francisco, what if I were known for the absolute worst thing I’ve done? The thought shook me. I then thought about how luck has played a role in shaping my life and how luck is random.","1. What is the speaker's opinion on being gentle and loving towards other life?
2. Why is it hard to love the self?
3. What does the speaker think about there being one self?
4. What is the speaker's opinion on luck playing a role in shaping one's life?"
"This lady from defy ventures asked a crowd “how many of you have done something borderline illegal before the age of 23”, about 40 pct hands went up. Then she asked, “how many of you were actually arrested?”. 2 pct of the hands went up. Maybe the percentage is actually higher because some may have opted out because it’s embarrassing to admit such things but that exercise made me feel grateful that life has been extremely kind to me. Life has been forgiving of my mistakes.

It made me wonder how forgiving I am of other people’s mistakes?

How can we make the feeling of relevance abundant?

Can we get there by just being nice to one another?

Can we stop grudging others for trying to steal our good work?

I mean so long as a good outcome happens, why is it important that the world know that it was ME who actually engineered it?",196,"This lady from defy ventures asked a crowd “how many of you have done something borderline illegal before the age of 23”, about 40 pct hands went up. Then she asked, “how many of you were actually arrested?”. 2 pct of the hands went up. Maybe the percentage is actually higher because some may have opted out because it’s embarrassing to admit such things but that exercise made me feel grateful that life has been extremely kind to me. Life has been forgiving of my mistakes.

It made me wonder how forgiving I am of other people’s mistakes?

How can we make the feeling of relevance abundant?

Can we get there by just being nice to one another?

Can we stop grudging others for trying to steal our good work?

I mean so long as a good outcome happens, why is it important that the world know that it was ME who actually engineered it?","1. What did the lady from Defy Ventures ask the crowd?
2. How many people raised their hands when she asked how many of them had done something borderline illegal before the age of 23?
3. How many people raised their hands when she asked how many of them had been arrested?
4. What did the lady from Defy Ventures ask the crowd next?
5. How can we make the feeling of relevance abundant?
6. Can we get there by just being nice to one another?
7. Can we stop grudging others for trying to steal our good work?
8. Why is it important that the world know that it was ME who actually engineered it?"
"Can we stop grudging others for trying to steal our good work?

I mean so long as a good outcome happens, why is it important that the world know that it was ME who actually engineered it?

I think because I still think that without recognition I cannot really feel relevant so to some extent I optimize for recognition but say I’m optimizing for purpose.

I hate my own hypocrisy, but that doesn’t help.

I’ve found that I’m more loving on days when I’m not feeling insecure. I’ve found that when I’m loving towards others, they also feel good and a virtuous cycle develops.

It’s all really about love’s ability to create virtuous cycles. I think all my life I’ve been wanting to create a more loving environment. I’ve experienced a genuine loving environment most of the time, at times I haven’t. Whenever I haven’t its usually been the time when I’ve not been loving towards myself .",224,"Can we stop grudging others for trying to steal our good work?

I mean so long as a good outcome happens, why is it important that the world know that it was ME who actually engineered it?

I think because I still think that without recognition I cannot really feel relevant so to some extent I optimize for recognition but say I’m optimizing for purpose.

I hate my own hypocrisy, but that doesn’t help.

I’ve found that I’m more loving on days when I’m not feeling insecure. I’ve found that when I’m loving towards others, they also feel good and a virtuous cycle develops.

It’s all really about love’s ability to create virtuous cycles. I think all my life I’ve been wanting to create a more loving environment. I’ve experienced a genuine loving environment most of the time, at times I haven’t. Whenever I haven’t its usually been the time when I’ve not been loving towards myself .","1. Why do you think it's important for the world to know that you engineered a good outcome?
2. Why do you think you need recognition in order to feel relevant?
3. What do you think is the root of your desire to create a more loving environment?"
"I’m trying to create a loving environment now in an effort that is going to make internet access affordable for all because I genuinely believe that everyone should have the ability to ask a question and get an answer.

I also believe that everyone should be able to feel relevant because everyone deserves to truly feel alive.

Thank you for reading this till the end, I would love to hear your responses to my questions.",86,"I’m trying to create a loving environment now in an effort that is going to make internet access affordable for all because I genuinely believe that everyone should have the ability to ask a question and get an answer.

I also believe that everyone should be able to feel relevant because everyone deserves to truly feel alive.

Thank you for reading this till the end, I would love to hear your responses to my questions.","1. What is the speaker's motivation for making internet access affordable for all?
2. What does the speaker believe about the ability of everyone to feel relevant?"
"5 themes observed in broadband initiatives across rural America
Local communities in rural America are showing what needs to happen to make “Internet for all” financially feasible on a global scale, this post elaborates 5 themes I observed at the Broadband Communities Conference held in Ontario CA (Oct 2018)",59,"5 themes observed in broadband initiatives across rural America
Local communities in rural America are showing what needs to happen to make “Internet for all” financially feasible on a global scale, this post elaborates 5 themes I observed at the Broadband Communities Conference held in Ontario CA (Oct 2018)","1. What are the five themes that were observed at the Broadband Communities Conference?
2. What are the implications of these themes for rural America?"
"When I first shared with my friends and family that I will quit my career to make internet access affordable for all (c. March 2016), a good friend joked with me saying he always knew I was a “commie” and reminded me of this quote by Vladimir Lenin (1920).
Soon after reading this quote I became curious about how America (the anti-thesis of communism) solved its electricity access problem. For context, in the 1930s, 9/10 households did not have to access to electricity in America. By early 1970s, 98% of all rural farms had electrical service. The catalyst to this rapid infrastructure deployment was an incredible piece of legislation called the Rural Electrification Act of 1936.
The REA used federal funds to create electric cooperatives which used local labor to build out and maintain electricity infrastructure. In addition, REA hired advisors like Louisan Mamer (1910–2005) to show people how to use electricity.
Today about 900 electric cooperatives serve 56 percent of geographic America, despite accounting for only 11% of total electricity distribution revenues across the United States. Last week I got to meet individuals working for entities that were created as a result of the REA. Many of them are now focused on bringing high speed Internet to their communities because telephone and cable corporations are not incentivized to build infrastructure in sparsely populated areas.
While listening to presenters who have mobilized local governments and communities to build broadband infrastructure, I observed the following themes:",302,"When I first shared with my friends and family that I will quit my career to make internet access affordable for all (c. March 2016), a good friend joked with me saying he always knew I was a “commie” and reminded me of this quote by Vladimir Lenin (1920).
Soon after reading this quote I became curious about how America (the anti-thesis of communism) solved its electricity access problem. For context, in the 1930s, 9/10 households did not have to access to electricity in America. By early 1970s, 98% of all rural farms had electrical service. The catalyst to this rapid infrastructure deployment was an incredible piece of legislation called the Rural Electrification Act of 1936.
The REA used federal funds to create electric cooperatives which used local labor to build out and maintain electricity infrastructure. In addition, REA hired advisors like Louisan Mamer (1910–2005) to show people how to use electricity.
Today about 900 electric cooperatives serve 56 percent of geographic America, despite accounting for only 11% of total electricity distribution revenues across the United States. Last week I got to meet individuals working for entities that were created as a result of the REA. Many of them are now focused on bringing high speed Internet to their communities because telephone and cable corporations are not incentivized to build infrastructure in sparsely populated areas.
While listening to presenters who have mobilized local governments and communities to build broadband infrastructure, I observed the following themes:","1. What did your friend say to you when you told them you were quitting your job to make internet access affordable for all?
2. What did you learn about America's electricity access problem in the 1930s?
3. How did the Rural Electrification Act of 1936 help to solve America's electricity access problem?
4. What are some of the themes you observed while listening to presenters who have mobilized local governments and communities to build broadband infrastructure?"
"1. Broadband is not a partisan issue
Tune into CNN or Fox News and it seems that Republicans and Democrats are ready to annihilate each other. There is no doubt that America is more polarized today than years past but when it comes to bringing high quality internet access to ignored areas, political ideologies become secondary.
Several presenters shared this view but the session which provided richer insights was the one hosted by Deborah and James Fallows. The Fallows shared findings from their travels across smaller towns one normally doesn’t hear about (see map below). The Fallows emphasized that the key ingredient which ensures collaboration across the aisle is mutual respect.
Deborah shared that she often found herself near a library in the evening as quite often only libraries had internet access and librarians were kind enough to leave WiFi on. The more interesting comment was about the homeless: Deborah shared that many homeless people said that it’s only at libraries where they get respect and that’s why they often congregate there.
Avenues to explore based on this theme: identify conferences where city and local government officials from different countries can get an opportunity to learn from one another. Identify libraries on maps where fiber deployments are being planned.",250,"1. Broadband is not a partisan issue
Tune into CNN or Fox News and it seems that Republicans and Democrats are ready to annihilate each other. There is no doubt that America is more polarized today than years past but when it comes to bringing high quality internet access to ignored areas, political ideologies become secondary.
Several presenters shared this view but the session which provided richer insights was the one hosted by Deborah and James Fallows. The Fallows shared findings from their travels across smaller towns one normally doesn’t hear about (see map below). The Fallows emphasized that the key ingredient which ensures collaboration across the aisle is mutual respect.
Deborah shared that she often found herself near a library in the evening as quite often only libraries had internet access and librarians were kind enough to leave WiFi on. The more interesting comment was about the homeless: Deborah shared that many homeless people said that it’s only at libraries where they get respect and that’s why they often congregate there.
Avenues to explore based on this theme: identify conferences where city and local government officials from different countries can get an opportunity to learn from one another. Identify libraries on maps where fiber deployments are being planned.","1. What did the Fallows find during their travels across America?
2. What was the key ingredient which ensured collaboration across the aisle?
3. What did Deborah share about the homeless?"
"2. Local government involvement ensures community buy-in and enhances Internet adoption rates
Lloyd Levine shared findings of his research paper in which he draws an important distinction between broadband “access” and “adoption”. He goes on to define what “meaningful internet access” is and suggests that smartphones by themselves are not sufficient to provide meaningful internet access.",78,"2. Local government involvement ensures community buy-in and enhances Internet adoption rates
Lloyd Levine shared findings of his research paper in which he draws an important distinction between broadband “access” and “adoption”. He goes on to define what “meaningful internet access” is and suggests that smartphones by themselves are not sufficient to provide meaningful internet access.","1. What is the difference between broadband access and adoption?
2. What is Lloyd Levine's definition of meaningful internet access?
3. Why are smartphones not sufficient to provide meaningful internet access?"
"The more interesting fact he highlighted was that most telephone and cable corporations have affordable internet access plans (under $10/month on average) but that their call centers and customer service representatives are not incentivized to help improve “adoption” among low income individuals.
As a result of misaligned incentives, 30% of Californians lack meaningful internet access.
Lloyd Levine’s experiences as a California state law maker was in stark contrast to Joe Knapp’s experience from Sandy Oregon. Joe said that if SandyNet has an operational or service issue, he starts getting messages immediately from people he sees all the time at the grocery store, at school or at any community event. The case of SandyNet is quite inspiring especially considering the city of Sandy has a population of under 10,000!
Instead of giving dividends to stockholders, SandyNet focuses on keeping prices low for residents. This quote from Joe Knapp really stood out:
“We’re able to operate very lean because my service footprint is Sandy and my staff all live and work in Sandy, so we’re able to operate in a different manner than a lot of those companies (AT&T, Verizon, Comcast etc) are”
Avenues to explore based on this theme: The biggest deployment in Middle America that I know of has 175,000 people (Chattanooga, TN) and the smallest with under 10,000 people. Beyond a certain size, any effort loses the “local” touch, but what is that size?",318,"The more interesting fact he highlighted was that most telephone and cable corporations have affordable internet access plans (under $10/month on average) but that their call centers and customer service representatives are not incentivized to help improve “adoption” among low income individuals.
As a result of misaligned incentives, 30% of Californians lack meaningful internet access.
Lloyd Levine’s experiences as a California state law maker was in stark contrast to Joe Knapp’s experience from Sandy Oregon. Joe said that if SandyNet has an operational or service issue, he starts getting messages immediately from people he sees all the time at the grocery store, at school or at any community event. The case of SandyNet is quite inspiring especially considering the city of Sandy has a population of under 10,000!
Instead of giving dividends to stockholders, SandyNet focuses on keeping prices low for residents. This quote from Joe Knapp really stood out:
“We’re able to operate very lean because my service footprint is Sandy and my staff all live and work in Sandy, so we’re able to operate in a different manner than a lot of those companies (AT&T, Verizon, Comcast etc) are”
Avenues to explore based on this theme: The biggest deployment in Middle America that I know of has 175,000 people (Chattanooga, TN) and the smallest with under 10,000 people. Beyond a certain size, any effort loses the “local” touch, but what is that size?","1. What is the biggest deployment in Middle America that you know of?
2. What is the smallest deployment with under 10,000 people?
3. Beyond a certain size, any effort loses the “local” touch, but what is that size?"
"3. “If you build it, they will come” is a fallacy, spelling out impact and describing applications is essential
Building open access infrastructure is just one part of the equation, spelling out precisely what infrastructure can do increases stakeholder alignment. Not every application can be envisioned from the get go but allocating time to imagine applications and quantify benefits increase likelihood of success. Katie Espeseth, VP of New Products at Electric Power Board (EPB) presented Chattanooga’s story.
She emphasized the need to spell out applications and collaborate with partners to put infrastructure to use. What I loved about Katie’s talk was her focus on impact. She set the stage by sharing a quote from Walter Cronkite (American journalist) who called Chattanooga the “dirtiest city in America”. Through photographs she showed how Chattanooga has left behind its dirty city legacy and has now become “Gig city” (i.e. city offering gigabit speed internet access).
My favorite example from Katie’s talk was about how high schools students in Chattanooga are able to experience biology and STEM like never before because their fiber network allows for high resolution imagery to get transmitted at very low latency levels. This video shows how students in Chattanooga are learning from a professor based in California while getting to operate a powerful microscope using a mouse thanks in part to a fiber network.
Avenues to explore based on this theme: quantify economic and financial impact resulting from large scale fiber deployments on utility infrastructure. Perhaps figure out a way to make such videos as well to get the point across.",325,"3. “If you build it, they will come” is a fallacy, spelling out impact and describing applications is essential
Building open access infrastructure is just one part of the equation, spelling out precisely what infrastructure can do increases stakeholder alignment. Not every application can be envisioned from the get go but allocating time to imagine applications and quantify benefits increase likelihood of success. Katie Espeseth, VP of New Products at Electric Power Board (EPB) presented Chattanooga’s story.
She emphasized the need to spell out applications and collaborate with partners to put infrastructure to use. What I loved about Katie’s talk was her focus on impact. She set the stage by sharing a quote from Walter Cronkite (American journalist) who called Chattanooga the “dirtiest city in America”. Through photographs she showed how Chattanooga has left behind its dirty city legacy and has now become “Gig city” (i.e. city offering gigabit speed internet access).
My favorite example from Katie’s talk was about how high schools students in Chattanooga are able to experience biology and STEM like never before because their fiber network allows for high resolution imagery to get transmitted at very low latency levels. This video shows how students in Chattanooga are learning from a professor based in California while getting to operate a powerful microscope using a mouse thanks in part to a fiber network.
Avenues to explore based on this theme: quantify economic and financial impact resulting from large scale fiber deployments on utility infrastructure. Perhaps figure out a way to make such videos as well to get the point across.","1. What is the main point of the text?
2. What is the importance of spelling out impact?
3. What are some examples of how Chattanooga's fiber network has had a positive impact?"
"4. Fiber is (most likely) future proof but conduit has often made all the difference
My favorite slide from the conference was presented by Joanne Hovis, CEO of CTC Technologies which showed capabilities of different communication technologies and thanks to an awesome search engine like Google I’ve been able to locate that slide without bothering Joanne!
I am personally on the fiber side of the story as well, my current view says that deploying fiber on electric utility infrastructure is our best bet to make Internet for all financially feasible.
Fiber’s virtually unlimited capacity is driven by its physics which I don’t understand all that well. However, just noticing the data throughput capability of optical modules over time shows an exponential curve. Considering data consumption grows exponentially as well, fiber as a transport medium seems to be an obvious choice.",170,"4. Fiber is (most likely) future proof but conduit has often made all the difference
My favorite slide from the conference was presented by Joanne Hovis, CEO of CTC Technologies which showed capabilities of different communication technologies and thanks to an awesome search engine like Google I’ve been able to locate that slide without bothering Joanne!
I am personally on the fiber side of the story as well, my current view says that deploying fiber on electric utility infrastructure is our best bet to make Internet for all financially feasible.
Fiber’s virtually unlimited capacity is driven by its physics which I don’t understand all that well. However, just noticing the data throughput capability of optical modules over time shows an exponential curve. Considering data consumption grows exponentially as well, fiber as a transport medium seems to be an obvious choice.","1. What is the speaker's opinion on fiber?
2. What does the speaker think is the best way to make internet for all financially feasible?
3. Why does the speaker think fiber is a good choice for transport medium?"
"Data throughput capacity of optical modules
That said, the most important and relevant comment I took away was from Nathan Rosenberg from the Broadband Group. Nathan said that fiber is “probably” future proof but that presence of conduit is often what has made the difference in feasible projects and unfeasible projects. I loved this quote from him
There is such a thing as bad broadband project!
Conduit is a tube or pipe through which multiple other pipes can pass. Cities which had conduit found that deploying fiber was quite cost effective.
Avenues to explore based on this theme: identify areas where conduit is deployed but fiber is not, to assess opportunities for low cost fiber deployments.",139,"Data throughput capacity of optical modules
That said, the most important and relevant comment I took away was from Nathan Rosenberg from the Broadband Group. Nathan said that fiber is “probably” future proof but that presence of conduit is often what has made the difference in feasible projects and unfeasible projects. I loved this quote from him
There is such a thing as bad broadband project!
Conduit is a tube or pipe through which multiple other pipes can pass. Cities which had conduit found that deploying fiber was quite cost effective.
Avenues to explore based on this theme: identify areas where conduit is deployed but fiber is not, to assess opportunities for low cost fiber deployments.","1. What is Nathan Rosenberg's opinion on fiber?
2. What is Nathan Rosenberg's opinion on conduit?
3. What are the benefits of conduit?
4. What are the benefits of fiber?"
"5. Customer service is a critical success factor, but a monopoly owning the customer relationship is not the “only” option
Everyone present agreed that customer service is critical, however, not all local broadband initiatives are consumer facing ie last mile served by the municipality or cooperative. Some have chosen (eg Ammon Idaho) to take a wholesale approach where infrastructure acts as an enabler. In contrast, EPB feels very strongly about owning the customer relationship themselves.
I can see that for towns like Sandy, a consumer facing monopoly makes sense. But for bigger towns it’s possible that complacency sets in eventually and perhaps a wholesale approach would work better.
Ammon’s model is described as Open Access Virtual Infrastructure (OAVI) which makes the actual infrastructure available to the end user through the use of virtualization, rather than the infrastructure’s services.",181,"5. Customer service is a critical success factor, but a monopoly owning the customer relationship is not the “only” option
Everyone present agreed that customer service is critical, however, not all local broadband initiatives are consumer facing ie last mile served by the municipality or cooperative. Some have chosen (eg Ammon Idaho) to take a wholesale approach where infrastructure acts as an enabler. In contrast, EPB feels very strongly about owning the customer relationship themselves.
I can see that for towns like Sandy, a consumer facing monopoly makes sense. But for bigger towns it’s possible that complacency sets in eventually and perhaps a wholesale approach would work better.
Ammon’s model is described as Open Access Virtual Infrastructure (OAVI) which makes the actual infrastructure available to the end user through the use of virtualization, rather than the infrastructure’s services.","1. What is the difference between a monopoly and a virtual infrastructure?
2. Why do some towns feel the need to have a monopoly?
3. What is the Open Access Virtual Infrastructure model?"
"OAVI enhances consumer choice by separating the underlying physical infrastructure from the network services. Each end user is empowered by being presented with his own infrastructure. As a result, every user has the ability to receive and/or deliver services across the infrastructure by utilizing a self provisioned network or by joining a network provided by any other user by joint agreement. Here is how the financial model works:
Within the municipal framework, utility infrastructure build costs are paid by the property owners desiring the utility service. This could be done via a standard municipal bond process which requires the support of the property owners who will receive the utility service.
The utility infrastructure maintenance and operational costs are paid by the property owners with access to the utility via a monthly utility service fee. It is important to note, that under the OAVI model, the utility service is virtualized infrastructure.
Services such as the Internet are delivered across the OAVI with an agreement between the provider and the end user. In this instance the end user is the service provider’s customer. When the end user desires a service other than his or her own, the OAVI model puts the end user in the middle of the network service provider and the infrastructure owner, thereby improving consumer choice and control.
Watching the video below on Ammon’s model is well worth your time, it explains Ammon’s model and applications as well.",287,"OAVI enhances consumer choice by separating the underlying physical infrastructure from the network services. Each end user is empowered by being presented with his own infrastructure. As a result, every user has the ability to receive and/or deliver services across the infrastructure by utilizing a self provisioned network or by joining a network provided by any other user by joint agreement. Here is how the financial model works:
Within the municipal framework, utility infrastructure build costs are paid by the property owners desiring the utility service. This could be done via a standard municipal bond process which requires the support of the property owners who will receive the utility service.
The utility infrastructure maintenance and operational costs are paid by the property owners with access to the utility via a monthly utility service fee. It is important to note, that under the OAVI model, the utility service is virtualized infrastructure.
Services such as the Internet are delivered across the OAVI with an agreement between the provider and the end user. In this instance the end user is the service provider’s customer. When the end user desires a service other than his or her own, the OAVI model puts the end user in the middle of the network service provider and the infrastructure owner, thereby improving consumer choice and control.
Watching the video below on Ammon’s model is well worth your time, it explains Ammon’s model and applications as well.","1. What is the financial model for OAVI?
2. How are the costs for utility infrastructure paid?
3. How are services delivered across OAVI?
4. What are the benefits of OAVI for consumers?"
"Avenues to explore based on this theme: obtain data to assess adoption rate variation depending on business model adopted.
Acknowledgments
I am very grateful to Jim Baller of Baller, Stokes & Lide for inviting me to the BBC Magazine conference and for being a champion of affordable broadband for majority of his career.",66,"Avenues to explore based on this theme: obtain data to assess adoption rate variation depending on business model adopted.
Acknowledgments
I am very grateful to Jim Baller of Baller, Stokes & Lide for inviting me to the BBC Magazine conference and for being a champion of affordable broadband for majority of his career.","1. What is the business model that Jim Baller advocates for broadband?
2. What are the benefits of this business model?
3. What are the potential drawbacks of this business model?"
"Challenges faced [15 mins]
In my life so far I have started multiple efforts, given up on too many and completed very few. I have often thought about what is it that makes me “show up” each day for the fulfilment of certain objectives but not others? Why do some objectives matter more than others? What is the best way to figure out what matters to me and why? I’ve written quite a bit about ideas of “Chul” and the benefits of understanding the reception conviction of your colleagues.
In 2014 for the first time I sat down to write what mattered to me and why? I found that introspection was very challenging, eventually after much struggle I concluded back then that “aligning incentives of driven and capable people with positive character traits (specifically the traits include: zest, grit, curiosity, optimism, self control, gratitude and social intelligence) matters to me because I want to live an incredible life but I don’t want my work to become a source of stress for my family, my colleagues, my customers or my partners.”
Living an incredible life meant dedicating all my energies to solving a really big problem that I care about and creating an a**-hole proof environment in the process.
2015 turned out to be an incredible year of self discovery. I came across the work of Ken Robinson who describes ways through which anyone can “find their element”. For Ken, our element is where talent meets passion. But is passion static? are talents static? I don’t think so. If talent and passion keeps evolving then so does our element. Considering our element keeps evolving, the same must be true for other human beings who collaborate with us to help achieve certain objectives.
For me, the answer of what mattered to me and why evolved as well. What I wrote in 2014 is still true, but it still is a means to an end. I have spent the past 2.5 years continuing to write down iterations of the same question and as of today I think levelling the playing field for all consciousness matters to me, but specifically what that’s now boiled down to is the following:
I want to dedicate my time and energy to join efforts through which I can significantly accelerate the following outcomes: a) make internet access free, b) make electricity access abundant / free and c) make financial capital abundant.
I believe the above 3 outcomes will happen irrespective of my efforts, I simply want to join conversations where the above 3 goals are a core focus. My hypothesis is that I will find beautiful minds across the globe if I join such conversations. After all, we are the “average of 5 people we spend most of our time with” and so the likelihood of me pushing up my average by talking to people who intend solving audacious goals is quite high
My journey has taught me that passions are not static. They evolve and that’s a problem to some extent for leaders and founders in particular because passions only get tested when the going gets tough. Often what separates success stories from failures is grit and persistence.
I believe that as entrepreneurs when we declare a commitment to a vision, we are making a statement about our passions and our convictions. It is the quality of our introspection that ensures authenticity of our stated purpose, and in my view determines the likelihood of our success.
As such, I turned to technology and research to improve the quality of my introspection",712,"Challenges faced [15 mins]
In my life so far I have started multiple efforts, given up on too many and completed very few. I have often thought about what is it that makes me “show up” each day for the fulfilment of certain objectives but not others? Why do some objectives matter more than others? What is the best way to figure out what matters to me and why? I’ve written quite a bit about ideas of “Chul” and the benefits of understanding the reception conviction of your colleagues.
In 2014 for the first time I sat down to write what mattered to me and why? I found that introspection was very challenging, eventually after much struggle I concluded back then that “aligning incentives of driven and capable people with positive character traits (specifically the traits include: zest, grit, curiosity, optimism, self control, gratitude and social intelligence) matters to me because I want to live an incredible life but I don’t want my work to become a source of stress for my family, my colleagues, my customers or my partners.”
Living an incredible life meant dedicating all my energies to solving a really big problem that I care about and creating an a**-hole proof environment in the process.
2015 turned out to be an incredible year of self discovery. I came across the work of Ken Robinson who describes ways through which anyone can “find their element”. For Ken, our element is where talent meets passion. But is passion static? are talents static? I don’t think so. If talent and passion keeps evolving then so does our element. Considering our element keeps evolving, the same must be true for other human beings who collaborate with us to help achieve certain objectives.
For me, the answer of what mattered to me and why evolved as well. What I wrote in 2014 is still true, but it still is a means to an end. I have spent the past 2.5 years continuing to write down iterations of the same question and as of today I think levelling the playing field for all consciousness matters to me, but specifically what that’s now boiled down to is the following:
I want to dedicate my time and energy to join efforts through which I can significantly accelerate the following outcomes: a) make internet access free, b) make electricity access abundant / free and c) make financial capital abundant.
I believe the above 3 outcomes will happen irrespective of my efforts, I simply want to join conversations where the above 3 goals are a core focus. My hypothesis is that I will find beautiful minds across the globe if I join such conversations. After all, we are the “average of 5 people we spend most of our time with” and so the likelihood of me pushing up my average by talking to people who intend solving audacious goals is quite high
My journey has taught me that passions are not static. They evolve and that’s a problem to some extent for leaders and founders in particular because passions only get tested when the going gets tough. Often what separates success stories from failures is grit and persistence.
I believe that as entrepreneurs when we declare a commitment to a vision, we are making a statement about our passions and our convictions. It is the quality of our introspection that ensures authenticity of our stated purpose, and in my view determines the likelihood of our success.
As such, I turned to technology and research to improve the quality of my introspection","1. Why do some objectives matter more than others to the speaker?
2. How has the speaker's understanding of what matters to them changed over time?
3. What is the speaker's vision for the future?"
"Pathways explored [25 mins]
What gets measured gets done, what gets rewarded gets done repeatedly
When I genuinely started introspecting, I found the process of introspection to be quite flawed and prevailing academic literature seemed to suggest the same. So about 2 years I decided to measure my daily activity by installing a highly invasive application on my computer and smartphone, called Desktime
Measuring exactly how I was spending my time in 2014 helped me get a better sense of the delta between my actions and stated beliefs. So in 2015, I started pushing for change and initiated a process through which I could extract myself from my commitments in order to focus on what was really important. I found that measurement solidified my conviction and helped me follow through on actions which some of my friends thought were a bit “outrageous”. They felt this simply because I had a rather “stable / well paying job”.
As preparation for this talk, I decided to do a literature review and found an excellent paper that was published on HBR which captures my thought process in a much better way.",223,"Pathways explored [25 mins]
What gets measured gets done, what gets rewarded gets done repeatedly
When I genuinely started introspecting, I found the process of introspection to be quite flawed and prevailing academic literature seemed to suggest the same. So about 2 years I decided to measure my daily activity by installing a highly invasive application on my computer and smartphone, called Desktime
Measuring exactly how I was spending my time in 2014 helped me get a better sense of the delta between my actions and stated beliefs. So in 2015, I started pushing for change and initiated a process through which I could extract myself from my commitments in order to focus on what was really important. I found that measurement solidified my conviction and helped me follow through on actions which some of my friends thought were a bit “outrageous”. They felt this simply because I had a rather “stable / well paying job”.
As preparation for this talk, I decided to do a literature review and found an excellent paper that was published on HBR which captures my thought process in a much better way.","1. What is the main point of the text?
2. What did the author do in order to measure their daily activity?
3. What did the author find when they measured their daily activity?
4. What did the author do as a result of what they found when they measured their daily activity?
5. What is the main point of the paper mentioned in the text?"
