content,tokens,context,questions,answers
"When I first shared with my friends and family that I will quit my career to make internet access affordable for all (c. March 2016), a good friend joked with me saying he always knew I was a “commie” and reminded me of this quote by Vladimir Lenin (1920).
Soon after reading this quote I became curious about how America (the anti-thesis of communism) solved its electricity access problem. For context, in the 1930s, 9/10 households did not have to access to electricity in America. By early 1970s, 98% of all rural farms had electrical service. The catalyst to this rapid infrastructure deployment was an incredible piece of legislation called the Rural Electrification Act of 1936.
The REA used federal funds to create electric cooperatives which used local labor to build out and maintain electricity infrastructure. In addition, REA hired advisors like Louisan Mamer (1910–2005) to show people how to use electricity.
Today about 900 electric cooperatives serve 56 percent of geographic America, despite accounting for only 11% of total electricity distribution revenues across the United States. Last week I got to meet individuals working for entities that were created as a result of the REA. Many of them are now focused on bringing high speed Internet to their communities because telephone and cable corporations are not incentivized to build infrastructure in sparsely populated areas.
While listening to presenters who have mobilized local governments and communities to build broadband infrastructure, I observed the following themes:",302,"When I first shared with my friends and family that I will quit my career to make internet access affordable for all (c. March 2016), a good friend joked with me saying he always knew I was a “commie” and reminded me of this quote by Vladimir Lenin (1920).
Soon after reading this quote I became curious about how America (the anti-thesis of communism) solved its electricity access problem. For context, in the 1930s, 9/10 households did not have to access to electricity in America. By early 1970s, 98% of all rural farms had electrical service. The catalyst to this rapid infrastructure deployment was an incredible piece of legislation called the Rural Electrification Act of 1936.
The REA used federal funds to create electric cooperatives which used local labor to build out and maintain electricity infrastructure. In addition, REA hired advisors like Louisan Mamer (1910–2005) to show people how to use electricity.
Today about 900 electric cooperatives serve 56 percent of geographic America, despite accounting for only 11% of total electricity distribution revenues across the United States. Last week I got to meet individuals working for entities that were created as a result of the REA. Many of them are now focused on bringing high speed Internet to their communities because telephone and cable corporations are not incentivized to build infrastructure in sparsely populated areas.
While listening to presenters who have mobilized local governments and communities to build broadband infrastructure, I observed the following themes:","1. What did the Rural Electrification Act of 1936 do?
2. How did it catalyze the rapid deployment of electricity infrastructure?
3. What are the themes that emerged from the presenters at the conference?","1. The Rural Electrification Act of 1936 was a piece of legislation that used federal funds to create electric cooperatives which used local labor to build out and maintain electricity infrastructure.
2. It catalyzed the rapid deployment of electricity infrastructure by hiring advisors like Louisan Mamer to show people how to use electricity.
3. The themes that emerged from the presenters at the conference were that local governments and communities need to be mobilized to build broadband infrastructure, and that telephone and cable corporations are not incentivized to build infrastructure in sparsely populated areas."
"1. Broadband is not a partisan issue
Tune into CNN or Fox News and it seems that Republicans and Democrats are ready to annihilate each other. There is no doubt that America is more polarized today than years past but when it comes to bringing high quality internet access to ignored areas, political ideologies become secondary.
Several presenters shared this view but the session which provided richer insights was the one hosted by Deborah and James Fallows. The Fallows shared findings from their travels across smaller towns one normally doesn’t hear about (see map below). The Fallows emphasized that the key ingredient which ensures collaboration across the aisle is mutual respect.
Deborah shared that she often found herself near a library in the evening as quite often only libraries had internet access and librarians were kind enough to leave WiFi on. The more interesting comment was about the homeless: Deborah shared that many homeless people said that it’s only at libraries where they get respect and that’s why they often congregate there.
Avenues to explore based on this theme: identify conferences where city and local government officials from different countries can get an opportunity to learn from one another. Identify libraries on maps where fiber deployments are being planned.",250,"1. Broadband is not a partisan issue
Tune into CNN or Fox News and it seems that Republicans and Democrats are ready to annihilate each other. There is no doubt that America is more polarized today than years past but when it comes to bringing high quality internet access to ignored areas, political ideologies become secondary.
Several presenters shared this view but the session which provided richer insights was the one hosted by Deborah and James Fallows. The Fallows shared findings from their travels across smaller towns one normally doesn’t hear about (see map below). The Fallows emphasized that the key ingredient which ensures collaboration across the aisle is mutual respect.
Deborah shared that she often found herself near a library in the evening as quite often only libraries had internet access and librarians were kind enough to leave WiFi on. The more interesting comment was about the homeless: Deborah shared that many homeless people said that it’s only at libraries where they get respect and that’s why they often congregate there.
Avenues to explore based on this theme: identify conferences where city and local government officials from different countries can get an opportunity to learn from one another. Identify libraries on maps where fiber deployments are being planned.","1. What did the Fallows find during their travels across America?
2. What was the key ingredient which ensured collaboration across the aisle?
3. What did Deborah share about the homeless?
4. What are some avenues to explore based on the theme of the text?","1. The Fallows found that Republicans and Democrats are ready to annihilate each other. However, when it comes to bringing high quality internet access to ignored areas, political ideologies become secondary.
2. The key ingredient which ensured collaboration across the aisle was mutual respect.
3. Deborah shared that many homeless people said that it’s only at libraries where they get respect and that’s why they often congregate there.
4. Some avenues to explore based on the theme of the text are to identify conferences where city and local government officials from different countries can get an opportunity to learn from one another and to identify libraries on maps where fiber deployments are being planned."
"2. Local government involvement ensures community buy-in and enhances Internet adoption rates
Lloyd Levine shared findings of his research paper in which he draws an important distinction between broadband “access” and “adoption”. He goes on to define what “meaningful internet access” is and suggests that smartphones by themselves are not sufficient to provide meaningful internet access.",78,"2. Local government involvement ensures community buy-in and enhances Internet adoption rates
Lloyd Levine shared findings of his research paper in which he draws an important distinction between broadband “access” and “adoption”. He goes on to define what “meaningful internet access” is and suggests that smartphones by themselves are not sufficient to provide meaningful internet access.","1. What is Lloyd Levine's research paper about?
2. What is the distinction between broadband ""access"" and ""adoption""?
3. What does Lloyd Levine suggest about smartphones?
4. What is the definition of ""meaningful internet access""?","1. Lloyd Levine's research paper is about the distinction between broadband ""access"" and ""adoption"".
2. The distinction between broadband ""access"" and ""adoption"" is that broadband ""access"" is the availability of broadband service, while broadband ""adoption"" is the use of that service.
3. Lloyd Levine suggests that smartphones are not sufficient to provide meaningful internet access.
4. The definition of ""meaningful internet access"" is internet access that is sufficient to allow users to participate in society and the economy."
"The more interesting fact he highlighted was that most telephone and cable corporations have affordable internet access plans (under $10/month on average) but that their call centers and customer service representatives are not incentivized to help improve “adoption” among low income individuals.
As a result of misaligned incentives, 30% of Californians lack meaningful internet access.
Lloyd Levine’s experiences as a California state law maker was in stark contrast to Joe Knapp’s experience from Sandy Oregon. Joe said that if SandyNet has an operational or service issue, he starts getting messages immediately from people he sees all the time at the grocery store, at school or at any community event. The case of SandyNet is quite inspiring especially considering the city of Sandy has a population of under 10,000!
Instead of giving dividends to stockholders, SandyNet focuses on keeping prices low for residents. This quote from Joe Knapp really stood out:
“We’re able to operate very lean because my service footprint is Sandy and my staff all live and work in Sandy, so we’re able to operate in a different manner than a lot of those companies (AT&T, Verizon, Comcast etc) are”
Avenues to explore based on this theme: The biggest deployment in Middle America that I know of has 175,000 people (Chattanooga, TN) and the smallest with under 10,000 people. Beyond a certain size, any effort loses the “local” touch, but what is that size?",318,"The more interesting fact he highlighted was that most telephone and cable corporations have affordable internet access plans (under $10/month on average) but that their call centers and customer service representatives are not incentivized to help improve “adoption” among low income individuals.
As a result of misaligned incentives, 30% of Californians lack meaningful internet access.
Lloyd Levine’s experiences as a California state law maker was in stark contrast to Joe Knapp’s experience from Sandy Oregon. Joe said that if SandyNet has an operational or service issue, he starts getting messages immediately from people he sees all the time at the grocery store, at school or at any community event. The case of SandyNet is quite inspiring especially considering the city of Sandy has a population of under 10,000!
Instead of giving dividends to stockholders, SandyNet focuses on keeping prices low for residents. This quote from Joe Knapp really stood out:
“We’re able to operate very lean because my service footprint is Sandy and my staff all live and work in Sandy, so we’re able to operate in a different manner than a lot of those companies (AT&T, Verizon, Comcast etc) are”
Avenues to explore based on this theme: The biggest deployment in Middle America that I know of has 175,000 people (Chattanooga, TN) and the smallest with under 10,000 people. Beyond a certain size, any effort loses the “local” touch, but what is that size?","1. What is the biggest deployment in Middle America that you know of?
2. What is the smallest deployment in Middle America that you know of?
3. Beyond a certain size, any effort loses the “local” touch, but what is that size?","1. The biggest deployment in Middle America that I know of is Chattanooga, TN with 175,000 people.
2. The smallest deployment in Middle America that I know of is Sandy, OR with under 10,000 people.
3. Beyond a certain size, any effort loses the “local” touch, but what is that size?"
"3. “If you build it, they will come” is a fallacy, spelling out impact and describing applications is essential
Building open access infrastructure is just one part of the equation, spelling out precisely what infrastructure can do increases stakeholder alignment. Not every application can be envisioned from the get go but allocating time to imagine applications and quantify benefits increase likelihood of success. Katie Espeseth, VP of New Products at Electric Power Board (EPB) presented Chattanooga’s story.
She emphasized the need to spell out applications and collaborate with partners to put infrastructure to use. What I loved about Katie’s talk was her focus on impact. She set the stage by sharing a quote from Walter Cronkite (American journalist) who called Chattanooga the “dirtiest city in America”. Through photographs she showed how Chattanooga has left behind its dirty city legacy and has now become “Gig city” (i.e. city offering gigabit speed internet access).
My favorite example from Katie’s talk was about how high schools students in Chattanooga are able to experience biology and STEM like never before because their fiber network allows for high resolution imagery to get transmitted at very low latency levels. This video shows how students in Chattanooga are learning from a professor based in California while getting to operate a powerful microscope using a mouse thanks in part to a fiber network.
Avenues to explore based on this theme: quantify economic and financial impact resulting from large scale fiber deployments on utility infrastructure. Perhaps figure out a way to make such videos as well to get the point across.",325,"3. “If you build it, they will come” is a fallacy, spelling out impact and describing applications is essential
Building open access infrastructure is just one part of the equation, spelling out precisely what infrastructure can do increases stakeholder alignment. Not every application can be envisioned from the get go but allocating time to imagine applications and quantify benefits increase likelihood of success. Katie Espeseth, VP of New Products at Electric Power Board (EPB) presented Chattanooga’s story.
She emphasized the need to spell out applications and collaborate with partners to put infrastructure to use. What I loved about Katie’s talk was her focus on impact. She set the stage by sharing a quote from Walter Cronkite (American journalist) who called Chattanooga the “dirtiest city in America”. Through photographs she showed how Chattanooga has left behind its dirty city legacy and has now become “Gig city” (i.e. city offering gigabit speed internet access).
My favorite example from Katie’s talk was about how high schools students in Chattanooga are able to experience biology and STEM like never before because their fiber network allows for high resolution imagery to get transmitted at very low latency levels. This video shows how students in Chattanooga are learning from a professor based in California while getting to operate a powerful microscope using a mouse thanks in part to a fiber network.
Avenues to explore based on this theme: quantify economic and financial impact resulting from large scale fiber deployments on utility infrastructure. Perhaps figure out a way to make such videos as well to get the point across.","1. What is the main point of the article?
2. What is the significance of Chattanooga's story?
3. What are the benefits of spelling out applications?
4. What is the impact of large scale fiber deployments on utility infrastructure?","1. The article discusses the importance of spelling out applications and quantifying benefits in order to increase stakeholder alignment for large scale fiber deployments.
2. Chattanooga's story is used as an example to illustrate the importance of spelling out applications and collaborating with partners to put infrastructure to use.
3. The benefits of spelling out applications include increased likelihood of success and improved outcomes.
4. The impact of large scale fiber deployments on utility infrastructure includes increased economic and financial impact."
"4. Fiber is (most likely) future proof but conduit has often made all the difference
My favorite slide from the conference was presented by Joanne Hovis, CEO of CTC Technologies which showed capabilities of different communication technologies and thanks to an awesome search engine like Google I’ve been able to locate that slide without bothering Joanne!
I am personally on the fiber side of the story as well, my current view says that deploying fiber on electric utility infrastructure is our best bet to make Internet for all financially feasible.
Fiber’s virtually unlimited capacity is driven by its physics which I don’t understand all that well. However, just noticing the data throughput capability of optical modules over time shows an exponential curve. Considering data consumption grows exponentially as well, fiber as a transport medium seems to be an obvious choice.",170,"4. Fiber is (most likely) future proof but conduit has often made all the difference
My favorite slide from the conference was presented by Joanne Hovis, CEO of CTC Technologies which showed capabilities of different communication technologies and thanks to an awesome search engine like Google I’ve been able to locate that slide without bothering Joanne!
I am personally on the fiber side of the story as well, my current view says that deploying fiber on electric utility infrastructure is our best bet to make Internet for all financially feasible.
Fiber’s virtually unlimited capacity is driven by its physics which I don’t understand all that well. However, just noticing the data throughput capability of optical modules over time shows an exponential curve. Considering data consumption grows exponentially as well, fiber as a transport medium seems to be an obvious choice.","1. What is the difference between fiber and conduit?
2. What is the difference between fiber and optical modules?
3. Why does Joanne Hovis think fiber is the best bet for making Internet for all financially feasible?","1. Fiber is a material that is often used to create cables for transporting data. Conduit is a material that is often used to protect cables.
2. Fiber is a material that is often used to create cables for transporting data. Optical modules are devices that convert data into light signals for transmission through fiber.
3. Joanne Hovis thinks fiber is the best bet for making Internet for all financially feasible because fiber has virtually unlimited capacity and data consumption is growing exponentially."
"Data throughput capacity of optical modules
That said, the most important and relevant comment I took away was from Nathan Rosenberg from the Broadband Group. Nathan said that fiber is “probably” future proof but that presence of conduit is often what has made the difference in feasible projects and unfeasible projects. I loved this quote from him
There is such a thing as bad broadband project!
Conduit is a tube or pipe through which multiple other pipes can pass. Cities which had conduit found that deploying fiber was quite cost effective.
Avenues to explore based on this theme: identify areas where conduit is deployed but fiber is not, to assess opportunities for low cost fiber deployments.",139,"Data throughput capacity of optical modules
That said, the most important and relevant comment I took away was from Nathan Rosenberg from the Broadband Group. Nathan said that fiber is “probably” future proof but that presence of conduit is often what has made the difference in feasible projects and unfeasible projects. I loved this quote from him
There is such a thing as bad broadband project!
Conduit is a tube or pipe through which multiple other pipes can pass. Cities which had conduit found that deploying fiber was quite cost effective.
Avenues to explore based on this theme: identify areas where conduit is deployed but fiber is not, to assess opportunities for low cost fiber deployments.","1. What is the Broadband Group?
2. What did Nathan Rosenberg say about fiber?
3. What is the difference between feasible and unfeasible projects?
4. What is the significance of conduit?","1. The Broadband Group is a company that provides broadband services.
2. Nathan Rosenberg said that fiber is ""probably"" future proof but that presence of conduit is often what has made the difference in feasible projects and unfeasible projects.
3. The difference between feasible and unfeasible projects is whether or not the necessary infrastructure is in place.
4. The significance of conduit is that it makes it easier and cheaper to deploy fiber."
"5. Customer service is a critical success factor, but a monopoly owning the customer relationship is not the “only” option
Everyone present agreed that customer service is critical, however, not all local broadband initiatives are consumer facing ie last mile served by the municipality or cooperative. Some have chosen (eg Ammon Idaho) to take a wholesale approach where infrastructure acts as an enabler. In contrast, EPB feels very strongly about owning the customer relationship themselves.
I can see that for towns like Sandy, a consumer facing monopoly makes sense. But for bigger towns it’s possible that complacency sets in eventually and perhaps a wholesale approach would work better.
Ammon’s model is described as Open Access Virtual Infrastructure (OAVI) which makes the actual infrastructure available to the end user through the use of virtualization, rather than the infrastructure’s services.",181,"5. Customer service is a critical success factor, but a monopoly owning the customer relationship is not the “only” option
Everyone present agreed that customer service is critical, however, not all local broadband initiatives are consumer facing ie last mile served by the municipality or cooperative. Some have chosen (eg Ammon Idaho) to take a wholesale approach where infrastructure acts as an enabler. In contrast, EPB feels very strongly about owning the customer relationship themselves.
I can see that for towns like Sandy, a consumer facing monopoly makes sense. But for bigger towns it’s possible that complacency sets in eventually and perhaps a wholesale approach would work better.
Ammon’s model is described as Open Access Virtual Infrastructure (OAVI) which makes the actual infrastructure available to the end user through the use of virtualization, rather than the infrastructure’s services.","1. What is the difference between a monopoly and a virtual infrastructure?
2. Why do some towns feel the need to have a monopoly on the customer relationship?
3. What is the Open Access Virtual Infrastructure (OAVI)?","1. A monopoly is an organization that has complete control over a particular industry or market. A virtual infrastructure is a network of servers that allow for the sharing of resources and information.
2. Some towns feel the need to have a monopoly on the customer relationship in order to provide the best customer service possible. A virtual infrastructure allows for multiple service providers to share the network, which could lead to better customer service.
3. The Open Access Virtual Infrastructure (OAVI) is a network of servers that allow for the sharing of resources and information."
"OAVI enhances consumer choice by separating the underlying physical infrastructure from the network services. Each end user is empowered by being presented with his own infrastructure. As a result, every user has the ability to receive and/or deliver services across the infrastructure by utilizing a self provisioned network or by joining a network provided by any other user by joint agreement. Here is how the financial model works:
Within the municipal framework, utility infrastructure build costs are paid by the property owners desiring the utility service. This could be done via a standard municipal bond process which requires the support of the property owners who will receive the utility service.
The utility infrastructure maintenance and operational costs are paid by the property owners with access to the utility via a monthly utility service fee. It is important to note, that under the OAVI model, the utility service is virtualized infrastructure.
Services such as the Internet are delivered across the OAVI with an agreement between the provider and the end user. In this instance the end user is the service provider’s customer. When the end user desires a service other than his or her own, the OAVI model puts the end user in the middle of the network service provider and the infrastructure owner, thereby improving consumer choice and control.
Watching the video below on Ammon’s model is well worth your time, it explains Ammon’s model and applications as well.",287,"OAVI enhances consumer choice by separating the underlying physical infrastructure from the network services. Each end user is empowered by being presented with his own infrastructure. As a result, every user has the ability to receive and/or deliver services across the infrastructure by utilizing a self provisioned network or by joining a network provided by any other user by joint agreement. Here is how the financial model works:
Within the municipal framework, utility infrastructure build costs are paid by the property owners desiring the utility service. This could be done via a standard municipal bond process which requires the support of the property owners who will receive the utility service.
The utility infrastructure maintenance and operational costs are paid by the property owners with access to the utility via a monthly utility service fee. It is important to note, that under the OAVI model, the utility service is virtualized infrastructure.
Services such as the Internet are delivered across the OAVI with an agreement between the provider and the end user. In this instance the end user is the service provider’s customer. When the end user desires a service other than his or her own, the OAVI model puts the end user in the middle of the network service provider and the infrastructure owner, thereby improving consumer choice and control.
Watching the video below on Ammon’s model is well worth your time, it explains Ammon’s model and applications as well.","1. What is the financial model for OAVI?
2. How are the costs for utility infrastructure paid?
3. How are services delivered across OAVI?
4. What are the benefits of OAVI?","1. The financial model for OAVI is that the costs for utility infrastructure are paid by the property owners desiring the utility service.
2. The costs for utility infrastructure maintenance and operational costs are paid by the property owners with access to the utility via a monthly utility service fee.
3. Services are delivered across OAVI with an agreement between the provider and the end user.
4. The benefits of OAVI are that it enhances consumer choice and control."
"Avenues to explore based on this theme: obtain data to assess adoption rate variation depending on business model adopted.
Acknowledgments
I am very grateful to Jim Baller of Baller, Stokes & Lide for inviting me to the BBC Magazine conference and for being a champion of affordable broadband for majority of his career.",66,"Avenues to explore based on this theme: obtain data to assess adoption rate variation depending on business model adopted.
Acknowledgments
I am very grateful to Jim Baller of Baller, Stokes & Lide for inviting me to the BBC Magazine conference and for being a champion of affordable broadband for majority of his career.","1. What is the business model that Jim Baller advocates for broadband?
2. What are the benefits of this business model?
3. What are the potential drawbacks of this business model?
4. How does this business model compare to other broadband business models?","1. Jim Baller advocates for a business model in which broadband is affordable for the majority of people.
2. The benefits of this business model are that it is more affordable for the majority of people, and it encourages competition.
3. Potential drawbacks of this business model are that it may be less profitable for providers, and it may not be feasible in rural areas.
4. This business model compares favorably to other broadband business models in that it is more affordable for the majority of people and encourages competition."
"Challenges faced [15 mins]
In my life so far I have started multiple efforts, given up on too many and completed very few. I have often thought about what is it that makes me “show up” each day for the fulfilment of certain objectives but not others? Why do some objectives matter more than others? What is the best way to figure out what matters to me and why? I’ve written quite a bit about ideas of “Chul” and the benefits of understanding the reception conviction of your colleagues.
In 2014 for the first time I sat down to write what mattered to me and why? I found that introspection was very challenging, eventually after much struggle I concluded back then that “aligning incentives of driven and capable people with positive character traits (specifically the traits include: zest, grit, curiosity, optimism, self control, gratitude and social intelligence) matters to me because I want to live an incredible life but I don’t want my work to become a source of stress for my family, my colleagues, my customers or my partners.”
Living an incredible life meant dedicating all my energies to solving a really big problem that I care about and creating an a**-hole proof environment in the process.
2015 turned out to be an incredible year of self discovery. I came across the work of Ken Robinson who describes ways through which anyone can “find their element”. For Ken, our element is where talent meets passion. But is passion static? are talents static? I don’t think so. If talent and passion keeps evolving then so does our element. Considering our element keeps evolving, the same must be true for other human beings who collaborate with us to help achieve certain objectives.
For me, the answer of what mattered to me and why evolved as well. What I wrote in 2014 is still true, but it still is a means to an end. I have spent the past 2.5 years continuing to write down iterations of the same question and as of today I think levelling the playing field for all consciousness matters to me, but specifically what that’s now boiled down to is the following:
I want to dedicate my time and energy to join efforts through which I can significantly accelerate the following outcomes: a) make internet access free, b) make electricity access abundant / free and c) make financial capital abundant.
I believe the above 3 outcomes will happen irrespective of my efforts, I simply want to join conversations where the above 3 goals are a core focus. My hypothesis is that I will find beautiful minds across the globe if I join such conversations. After all, we are the “average of 5 people we spend most of our time with” and so the likelihood of me pushing up my average by talking to people who intend solving audacious goals is quite high
My journey has taught me that passions are not static. They evolve and that’s a problem to some extent for leaders and founders in particular because passions only get tested when the going gets tough. Often what separates success stories from failures is grit and persistence.
I believe that as entrepreneurs when we declare a commitment to a vision, we are making a statement about our passions and our convictions. It is the quality of our introspection that ensures authenticity of our stated purpose, and in my view determines the likelihood of our success.
As such, I turned to technology and research to improve the quality of my introspection",712,"Challenges faced [15 mins]
In my life so far I have started multiple efforts, given up on too many and completed very few. I have often thought about what is it that makes me “show up” each day for the fulfilment of certain objectives but not others? Why do some objectives matter more than others? What is the best way to figure out what matters to me and why? I’ve written quite a bit about ideas of “Chul” and the benefits of understanding the reception conviction of your colleagues.
In 2014 for the first time I sat down to write what mattered to me and why? I found that introspection was very challenging, eventually after much struggle I concluded back then that “aligning incentives of driven and capable people with positive character traits (specifically the traits include: zest, grit, curiosity, optimism, self control, gratitude and social intelligence) matters to me because I want to live an incredible life but I don’t want my work to become a source of stress for my family, my colleagues, my customers or my partners.”
Living an incredible life meant dedicating all my energies to solving a really big problem that I care about and creating an a**-hole proof environment in the process.
2015 turned out to be an incredible year of self discovery. I came across the work of Ken Robinson who describes ways through which anyone can “find their element”. For Ken, our element is where talent meets passion. But is passion static? are talents static? I don’t think so. If talent and passion keeps evolving then so does our element. Considering our element keeps evolving, the same must be true for other human beings who collaborate with us to help achieve certain objectives.
For me, the answer of what mattered to me and why evolved as well. What I wrote in 2014 is still true, but it still is a means to an end. I have spent the past 2.5 years continuing to write down iterations of the same question and as of today I think levelling the playing field for all consciousness matters to me, but specifically what that’s now boiled down to is the following:
I want to dedicate my time and energy to join efforts through which I can significantly accelerate the following outcomes: a) make internet access free, b) make electricity access abundant / free and c) make financial capital abundant.
I believe the above 3 outcomes will happen irrespective of my efforts, I simply want to join conversations where the above 3 goals are a core focus. My hypothesis is that I will find beautiful minds across the globe if I join such conversations. After all, we are the “average of 5 people we spend most of our time with” and so the likelihood of me pushing up my average by talking to people who intend solving audacious goals is quite high
My journey has taught me that passions are not static. They evolve and that’s a problem to some extent for leaders and founders in particular because passions only get tested when the going gets tough. Often what separates success stories from failures is grit and persistence.
I believe that as entrepreneurs when we declare a commitment to a vision, we are making a statement about our passions and our convictions. It is the quality of our introspection that ensures authenticity of our stated purpose, and in my view determines the likelihood of our success.
As such, I turned to technology and research to improve the quality of my introspection","1. What makes someone ""show up"" each day for the fulfilment of certain objectives but not others?
2. Why do some objectives matter more than others?
3. What is the best way to figure out what matters to someone and why?
4. How does one ""find their element""?
5. How does one's element evolve over time?
6. Why is it important for one to join efforts through which they can significantly accelerate certain outcomes?
7. What is the likelihood of success for someone who declares a commitment to a vision?","1. There are a variety of reasons why someone might not show up each day for the fulfilment of certain objectives but not others. These reasons can include a lack of interest, lack of passion, lack of conviction, or a lack of alignment between what matters to the individual and what the objective is.
2. Some objectives matter more than others because they are more in line with what the individual is passionate about or because they are more in line with the individual's talents and abilities.
3. The best way to figure out what matters to someone and why is to ask them directly. This can be done through introspection, conversation, or research.
4. ""Finding one's element"" means finding what it is that one is passionate about and where one's talents intersect. This can be done through introspection, conversation, or research.
5. ""Finding one's element"" means that one's passions and talents are constantly evolving. This can be a challenge for leaders and founders because their passions only get tested when the going gets tough.
6. It is important for one to join efforts through which they can significantly accelerate certain outcomes because this is the best way to achieve their goals.
7. The likelihood of success for someone who declares a commitment to a vision depends"
"Pathways explored [25 mins]
What gets measured gets done, what gets rewarded gets done repeatedly
When I genuinely started introspecting, I found the process of introspection to be quite flawed and prevailing academic literature seemed to suggest the same. So about 2 years I decided to measure my daily activity by installing a highly invasive application on my computer and smartphone, called Desktime
Measuring exactly how I was spending my time in 2014 helped me get a better sense of the delta between my actions and stated beliefs. So in 2015, I started pushing for change and initiated a process through which I could extract myself from my commitments in order to focus on what was really important. I found that measurement solidified my conviction and helped me follow through on actions which some of my friends thought were a bit “outrageous”. They felt this simply because I had a rather “stable / well paying job”.
As preparation for this talk, I decided to do a literature review and found an excellent paper that was published on HBR which captures my thought process in a much better way.",223,"Pathways explored [25 mins]
What gets measured gets done, what gets rewarded gets done repeatedly
When I genuinely started introspecting, I found the process of introspection to be quite flawed and prevailing academic literature seemed to suggest the same. So about 2 years I decided to measure my daily activity by installing a highly invasive application on my computer and smartphone, called Desktime
Measuring exactly how I was spending my time in 2014 helped me get a better sense of the delta between my actions and stated beliefs. So in 2015, I started pushing for change and initiated a process through which I could extract myself from my commitments in order to focus on what was really important. I found that measurement solidified my conviction and helped me follow through on actions which some of my friends thought were a bit “outrageous”. They felt this simply because I had a rather “stable / well paying job”.
As preparation for this talk, I decided to do a literature review and found an excellent paper that was published on HBR which captures my thought process in a much better way.","1. What gets measured gets done - what does this mean for the individual?
2. How did measuring his daily activity help the individual in question to get a better sense of the delta between his actions and stated beliefs?
3. What did the individual do in order to extract himself from his commitments in order to focus on what was really important?
4. What was the reaction of the individual's friends to his change in behaviour?
5. What is the main point of the paper that the individual found during his literature review?","1. What gets measured gets done - this means that if an individual wants to change their behaviour, they need to measure it in order to see the delta between their actions and stated beliefs.
2. Measuring his daily activity helped the individual in question to get a better sense of the delta between his actions and stated beliefs because it solidified his conviction and helped him to follow through on actions which some of his friends thought were a bit 'outrageous'.
3. The individual in question extracted himself from his commitments in order to focus on what was really important by initiating a process through which he could do this.
4. The reaction of the individual's friends to his change in behaviour was that some of them thought it was a bit 'outrageous'.
5. The main point of the paper that the individual found during his literature review was that it captures his thought process in a much better way."
